PLAYER_ID,Name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1630639,A.J. Lawson,2024-25,1610612761,TOR,24.0,21,360.28333333333336,62,148,0.419,27,81,0.333,23,37,0.622,15,51,66,21,8,4,11,35,174
1631260,AJ Green,2024-25,1610612749,MIL,25.0,67,1514.025,168,393,0.427,142,338,0.42,20,24,0.833,17,135,152,97,36,6,38,145,498
1642358,AJ Johnson,2024-25,1610612764,WAS,20.0,24,462.17333333333335,63,152,0.414,19,63,0.302,26,31,0.839,7,43,50,60,10,3,29,30,171
203932,Aaron Gordon,2024-25,1610612743,DEN,29.0,46,1276.7183333333332,229,432,0.53,71,154,0.461,127,159,0.799,70,157,227,144,20,11,64,74,656
1628988,Aaron Holiday,2024-25,1610612745,HOU,28.0,57,727.61,104,242,0.43,63,164,0.384,33,40,0.825,12,60,72,72,19,10,34,59,304
1630174,Aaron Nesmith,2024-25,1610612754,IND,25.0,41,1017.9516666666667,174,342,0.509,76,179,0.425,61,67,0.91,32,124,156,51,30,16,35,105,485
1630598,Aaron Wiggins,2024-25,1610612760,OKC,26.0,70,1587.525,321,654,0.491,120,308,0.39,57,69,0.826,76,188,264,119,55,18,59,90,819
1641745,Adam Flagler,2024-25,1610612760,OKC,25.0,33,143.775,17,73,0.233,10,56,0.179,0,0,0.0,7,12,19,8,7,3,3,12,44
1641766,Adama Sanogo,2024-25,1610612741,CHI,23.0,4,21.498333333333335,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,0,0,1,1,8
1641737,Adem Bona,2024-25,1610612755,PHI,22.0,53,750.185,106,150,0.707,0,0,0.0,54,79,0.684,75,125,200,23,22,59,49,110,266
1642349,Ajay Mitchell,2024-25,1610612760,OKC,22.0,34,561.1983333333334,84,166,0.506,22,51,0.431,28,33,0.848,17,50,67,57,24,3,28,59,218
201143,Al Horford,2024-25,1610612738,BOS,38.0,57,1578.5566666666666,183,434,0.422,107,297,0.36,34,38,0.895,76,269,345,122,35,49,43,79,507
202692,Alec Burks,2024-25,1610612748,MIA,33.0,45,776.53,97,231,0.42,73,176,0.415,35,46,0.761,14,99,113,48,25,7,23,31,302
1627936,Alex Caruso,2024-25,1610612760,OKC,31.0,50,957.8916666666667,127,284,0.447,56,158,0.354,35,43,0.814,35,108,143,128,78,28,36,91,345
1642505,Alex Ducas,2024-25,1610612760,OKC,24.0,19,96.245,10,25,0.4,9,18,0.5,0,0,0.0,6,13,19,3,5,0,4,7,29
203458,Alex Len,2024-25,1610612747,LAL,31.0,45,366.24,30,59,0.508,2,8,0.25,8,17,0.471,38,55,93,37,9,20,17,50,70
1642024,Alex Reese,2024-25,1610612755,PHI,25.0,13,198.88666666666666,24,48,0.5,13,35,0.371,8,10,0.8,9,34,43,4,9,8,5,20,69
1642259,Alex Sarr,2024-25,1610612764,WAS,19.0,62,1682.8116666666667,300,759,0.395,100,315,0.317,104,156,0.667,118,286,404,143,42,95,103,139,804
